ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
4563;M;330;RED;VAL;2016;1;Y;1;#N/A;3;0.153375668;0.396209599;0.90351463;0.709438539;0.108603983;0.571374622;0.338835494
4563;M;330;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.538683495;0.358240649;0.713526931;0.143971316;0.814443145;0.456779224;0.247322998
4580;M;300;RED;FRA;2016;1;Y;1;#N/A;4;0.863474403;0.181138547;0.438267042;0;0.890171367;0.283728613;0.340267629
4580;M;285;RED;FRA;2016;2;Y;#N/A;#N/A;#N/A;0.883917563;0.202003703;0.34801337;0;0.828006085;0.221806037;0.507511909
4580;M;310;RED;FRA;2017;3;Y;1;#N/A;4;0.77910188;0.132332346;0.593445999;0.248499822;0.926862064;0.276839649;0
4580;M;295;RED;FRA;2017;4;Y;#N/A;#N/A;#N/A;0.825623249;0.179914054;0.48501851;0.819073806;0;0.383589589;0.421616013
4581;F;300;RED;BOR;2016;1;N;0;1;2;0.800279216;0.2604691;0.538564203;0;0.899701382;0.273111407;0.326384674
4585;M;280;RED;BOR;2016;1;Y;1;#N/A;3;0.663722127;0.238926016;0.658844595;0.164166282;0.823893917;0.376038886;0.381493284
4585;M;290;RED;BOR;2016;2;Y;#N/A;#N/A;#N/A;0.797189508;0.171364175;0.576282015;0.254387465;0.710510021;0.404188889;0.504927996
4585;M;290;RED;BOR;2017;3;Y;0;#N/A;3;0.487830163;0.486673275;0.720315901;0.089010649;0.827127921;0.461357647;0.299054206
4590;F;355;RED-GREY;Sal-Passat;2016;1;Y;1;1;2;0.749984726;0.152522874;0.590228212;0;0.96244251;0.135742783;0.213248794
4590;F;360;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.920203767;0.222361895;0.321234973;0;0.882768826;0.185044332;0.422377018
