number,Plant_ID,Flower_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),,,,,,,,,,
30,LH4,30,6/23/15,6/24/15,6,4.5,45,5.447941889,Yes,0,0,0,0,0,0,NA,0,0,0,0,34,28,18,6,0,0,14.33333333,86,5810.741074,3.764306257,,,,,,,,,,
31,LH4,31,6/23/15,6/24/15,7,2.9,29,3.510895884,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
32,LH4,32,6/23/15,6/24/15,8,1.7,17,2.05811138,Yes,0,0,0,0,0,0,NA,0,0,0,0,10,5,3,1,0,0,3.166666667,19,2834.859957,3.45268478,,,,,,,,,,
33,LH5,33,6/23/15,6/24/15,1,2.1,21,2.542372881,Yes,0,0,0,0,0,0,NA,0,0,0,0,8,2,0,0,0,0,1.666666667,10,1242.124212,3.094514525,,,,,,,,,,
34,LH5,34,6/23/15,6/24/15,2,3.5,35,4.237288136,Yes,1,0,0,0,0,0,NA,0.166666667,1,2.726726727,0.571327548,1,0,0,0,0,0,0.166666667,1,81.72817282,1.917653432,,,,,,,,,,
35,LH5,35,6/23/15,6/24/15,3,2.7,27,3.268765133,Yes,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0.333333333,2,201.220122,2.305824368,,,,,,,,,,
36,LH5,36,6/23/15,6/24/15,4,5.1,51,6.17433414,Yes,2,1,0,0,0,0,NA,0.5,3,6.179120297,0.856071231,71,2,0,0,0,0,12.16666667,73,4506.697729,3.653954786,,,,,,,,,,
37,LH5,37,6/23/15,6/24/15,5,4.7,47,5.690072639,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
38,LH5,38,6/23/15,6/24/15,6,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
39,LH5,39,6/23/15,6/24/15,7,3.2,32,3.87409201,Yes,7,4,3,0,0,0,NA,2.333333333,14,40.96471471,1.622884275,23,10,0,0,0,0,5.5,33,2894.183168,3.461676045,,,,,,,,,,
